Component Count,File Size (KB),File Size (MB),Filename
20001,24787.85,24.21,synthetic_cyclonedx_20001_c1.json
20002,24771.84,24.19,synthetic_cyclonedx_20002_c1.json
20003,24795.49,24.21,synthetic_cyclonedx_20003_c1.json
20004,24795.8,24.21,synthetic_cyclonedx_20004_c1.json
20005,24799.1,24.22,synthetic_cyclonedx_20005_c1.json
20006,24798.1,24.22,synthetic_cyclonedx_20006_c1.json
20007,24806.64,24.23,synthetic_cyclonedx_20007_c1.json
20008,24805.17,24.22,synthetic_cyclonedx_20008_c1.json
20009,24791.04,24.21,synthetic_cyclonedx_20009_c1.json
20010,24801.24,24.22,synthetic_cyclonedx_20010_c1.json
20011,24826.61,24.24,synthetic_cyclonedx_20011_c1.json
20012,24803.25,24.22,synthetic_cyclonedx_20012_c1.json
20013,24831.15,24.25,synthetic_cyclonedx_20013_c1.json
20014,24798.83,24.22,synthetic_cyclonedx_20014_c1.json
20015,24802.6,24.22,synthetic_cyclonedx_20015_c1.json
20016,24796.4,24.22,synthetic_cyclonedx_20016_c1.json
20017,24812.22,24.23,synthetic_cyclonedx_20017_c1.json
20018,24815.3,24.23,synthetic_cyclonedx_20018_c1.json
20019,24830.32,24.25,synthetic_cyclonedx_20019_c1.json
20020,24814.37,24.23,synthetic_cyclonedx_20020_c1.json
20021,24822.05,24.24,synthetic_cyclonedx_20021_c1.json
20022,24825.02,24.24,synthetic_cyclonedx_20022_c1.json
20023,24822.87,24.24,synthetic_cyclonedx_20023_c1.json
20024,24801.36,24.22,synthetic_cyclonedx_20024_c1.json
20025,24822.66,24.24,synthetic_cyclonedx_20025_c1.json
20026,24844.84,24.26,synthetic_cyclonedx_20026_c1.json
20027,24829.29,24.25,synthetic_cyclonedx_20027_c1.json
20028,24824.17,24.24,synthetic_cyclonedx_20028_c1.json
20029,24823.54,24.24,synthetic_cyclonedx_20029_c1.json
20030,24830.93,24.25,synthetic_cyclonedx_20030_c1.json
20031,24802.32,24.22,synthetic_cyclonedx_20031_c1.json
20032,24837.82,24.26,synthetic_cyclonedx_20032_c1.json
