Component Count,File Size (KB),File Size (MB),Filename
1000,727.14,0.71,synthetic_spdx_1000_c1_1757400007.json
2000,1453.77,1.42,synthetic_spdx_2000_c1_1757400007.json
3000,2180.99,2.13,synthetic_spdx_3000_c1_1757400008.json
4000,2905.54,2.84,synthetic_spdx_4000_c1_1757400008.json
5000,3638.24,3.55,synthetic_spdx_5000_c1_1757400008.json
6000,4361.95,4.26,synthetic_spdx_6000_c1_1757400008.json
7000,5087.17,4.97,synthetic_spdx_7000_c1_1757400008.json
8000,5822.77,5.69,synthetic_spdx_8000_c1_1757400008.json
9000,6544.29,6.39,synthetic_spdx_9000_c1_1757400009.json
10000,7275.51,7.1,synthetic_spdx_10000_c1_1757400009.json
11000,8003.05,7.82,synthetic_spdx_11000_c1_1757400009.json
12000,8722.7,8.52,synthetic_spdx_12000_c1_1757400009.json
13000,9452.22,9.23,synthetic_spdx_13000_c1_1757400010.json
14000,10194.97,9.96,synthetic_spdx_14000_c1_1757400010.json
15000,10916.2,10.66,synthetic_spdx_15000_c1_1757400010.json
16000,11635.74,11.36,synthetic_spdx_16000_c1_1757400011.json
17000,12371.38,12.08,synthetic_spdx_17000_c1_1757400011.json
18000,13094.67,12.79,synthetic_spdx_18000_c1_1757400012.json
19000,13828.07,13.5,synthetic_spdx_19000_c1_1757400012.json
20000,14561.65,14.22,synthetic_spdx_20000_c1_1757400012.json
21000,15282.2,14.92,synthetic_spdx_21000_c1_1757400013.json
22000,16017.04,15.64,synthetic_spdx_22000_c1_1757400013.json
23000,16739.48,16.35,synthetic_spdx_23000_c1_1757400014.json
24000,17472.1,17.06,synthetic_spdx_24000_c1_1757400014.json
25000,18204.66,17.78,synthetic_spdx_25000_c1_1757400015.json
26000,18915.69,18.47,synthetic_spdx_26000_c1_1757400016.json
27000,19652.67,19.19,synthetic_spdx_27000_c1_1757400016.json
28000,20384.46,19.91,synthetic_spdx_28000_c1_1757400017.json
29000,21119.75,20.62,synthetic_spdx_29000_c1_1757400017.json
30000,21834.39,21.32,synthetic_spdx_30000_c1_1757400018.json
31000,22572.01,22.04,synthetic_spdx_31000_c1_1757400019.json
32000,23289.93,22.74,synthetic_spdx_32000_c1_1757400019.json
33000,24020.32,23.46,synthetic_spdx_33000_c1_1757400020.json
34000,24759.33,24.18,synthetic_spdx_34000_c1_1757400021.json
35000,25502.01,24.9,synthetic_spdx_35000_c1_1757400021.json
36000,26205.23,25.59,synthetic_spdx_36000_c1_1757400022.json
37000,26933.14,26.3,synthetic_spdx_37000_c1_1757400023.json
38000,27666.98,27.02,synthetic_spdx_38000_c1_1757400024.json
39000,28389.15,27.72,synthetic_spdx_39000_c1_1757400025.json
40000,29123.8,28.44,synthetic_spdx_40000_c1_1757400026.json
41000,29858.01,29.16,synthetic_spdx_41000_c1_1757400027.json
42000,30584.1,29.87,synthetic_spdx_42000_c1_1757400027.json
43000,31313.09,30.58,synthetic_spdx_43000_c1_1757400028.json
44000,32047.47,31.3,synthetic_spdx_44000_c1_1757400029.json
45000,32763.97,32.0,synthetic_spdx_45000_c1_1757400030.json
46000,33498.38,32.71,synthetic_spdx_46000_c1_1757400031.json
47000,34225.66,33.42,synthetic_spdx_47000_c1_1757400032.json
48000,34943.56,34.12,synthetic_spdx_48000_c1_1757400033.json
49000,35674.48,34.84,synthetic_spdx_49000_c1_1757400034.json
50000,36407.75,35.55,synthetic_spdx_50000_c1_1757400036.json
